,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,SI9-,,,,,,,,,,,,,,,,,,,,,
site_name,Osler Group basalt flow,,,,,,,,,,,,,,,,,,,,,
site_lat,48.76,(?N),,,,,,,,,,,,,,,,,,,,
site_long,272.39,(?E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,(meters),only used if no sun data,,,,[default is no],all sun compass info is optional,,,,,,,,Optional Field,default core strike,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,use_uncorrected_bedding,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
337.4b,sun orientation,337.4,253,17.0,0.0,0.0,no,79,-4,2013,9,14,11,40,1.0,nan,38.4,[354.72956869919722; 74.404633435635674; 56892.26554773005],-5.2704313008,-214.6,33.1,nan
337.7b,sun orientation,337.7,222,89.0,0.0,0.0,no,272,-4,2013,9,14,11,44,1.0,nan,232.5,[354.72956852552113; 74.404632851538921; 56892.264664328519],-5.27043147448,10.5,227.2,nan
338.3b,sun orientation,338.3,253,28.0,0.0,0.0,no,262,-4,2013,9,14,11,47,1.0,nan,223.3,[354.7295683952641; 74.404632413466345; 56892.264001777337],-5.27043160474,-29.7,218.0,nan
338.5b,sun orientation,338.5,224,37.0,0.0,0.0,no,246,-4,2013,9,14,11,51,1.0,nan,208.5,[354.72956822158807; 74.404631829369578; 56892.263118375806],-5.27043177841,-15.5,203.2,nan
340.2b,sun orientation,340.2,291,30.0,0.0,0.0,no,240,-4,2013,9,14,11,54,1.0,nan,203.4,[354.72956809133103; 74.404631391296959; 56892.262455824639],-5.27043190867,-87.6,198.1,nan
340.3b,sun orientation,340.3,339,21.0,0.0,0.0,no,12,-4,2013,9,14,12,0,1.0,nan,337.1,[354.72956783081702; 74.404630515151766; 56892.261130722341],-5.27043216918,-1.9,331.8,nan
390.2b,sun orientation,390.2,347,93.0,0.0,0.0,no,14,-4,2013,9,14,12,3,1.0,nan,340.0,[354.72956770055998; 74.404630077079105; 56892.260468171204],-5.27043229944,-7.0,334.7,nan
390.3b,sun orientation,390.3,359,84.0,0.0,0.0,no,82,-4,2013,9,14,11,37,1.0,nan,40.5,[354.72956882945425; 74.404633873708207; 56892.266210281203],-5.27043117055,-318.5,35.2,nan
390.9b,sun orientation,390.9,297,66.0,0.0,0.0,no,79,-4,2013,9,14,11,40,1.0,nan,38.4,[354.72956869919722; 74.404633435635674; 56892.26554773005],-5.2704313008,-258.6,33.1,nan
391b,sun orientation,391,211,61.0,0.0,0.0,no,272,-4,2013,9,14,11,44,1.0,nan,232.5,[354.72956852552113; 74.404632851538921; 56892.264664328519],-5.27043147448,21.5,227.2,nan
391.5b,sun orientation,391.5,276,35.0,0.0,0.0,no,262,-4,2013,9,14,11,47,1.0,nan,223.3,[354.7295683952641; 74.404632413466345; 56892.264001777337],-5.27043160474,-52.7,218.0,nan
391.51b,sun orientation,391.51,288,36.0,0.0,0.0,no,246,-4,2013,9,14,11,51,1.0,nan,208.5,[354.72956822158807; 74.404631829369578; 56892.263118375806],-5.27043177841,-79.5,203.2,nan
392.3b,sun orientation,392.3,152,20.0,0.0,0.0,no,240,-4,2013,9,14,11,54,1.0,nan,203.4,[354.72956809133103; 74.404631391296959; 56892.262455824639],-5.27043190867,51.4,198.1,nan
D1b,sun orientation,D1,21,45.0,0.0,0.0,no,12,-4,2013,9,14,12,0,1.0,nan,337.1,[354.72956783081702; 74.404630515151766; 56892.261130722341],-5.27043216918,316.1,331.8,nan
D2b,sun orientation,D2,84,35.0,0.0,0.0,no,14,-4,2013,9,14,12,3,1.0,nan,340.0,[354.72956770055998; 74.404630077079105; 56892.260468171204],-5.27043229944,256.0,334.7,nan
D3b,sun orientation,D3,84,37.0,0.0,0.0,no,82,-4,2013,9,14,11,37,1.0,nan,40.5,[354.72956882945425; 74.404633873708207; 56892.266210281203],-5.27043117055,-43.5,35.2,nan
D4b,sun orientation,D4,8,93.0,0.0,0.0,no,240,-4,2013,9,14,11,54,1.0,nan,203.4,[354.72956809133103; 74.404631391296959; 56892.262455824639],-5.27043190867,195.4,198.1,nan
D6b,sun orientation,D6,107,47.0,0.0,0.0,no,12,-4,2013,9,14,12,0,1.0,nan,337.1,[354.72956783081702; 74.404630515151766; 56892.261130722341],-5.27043216918,230.1,331.8,nan
D7b,sun orientation,D7,133,77.0,0.0,0.0,no,14,-4,2013,9,14,12,3,1.0,nan,340.0,[354.72956770055998; 74.404630077079105; 56892.260468171204],-5.27043229944,207.0,334.7,nan
D8b,sun orientation,D8,346,34.0,0.0,0.0,no,82,-4,2013,9,14,11,37,1.0,nan,40.5,[354.72956882945425; 74.404633873708207; 56892.266210281203],-5.27043117055,-305.5,35.2,nan
D9b,sun orientation,D9,106,36.0,0.0,0.0,no,246,-4,2013,9,14,11,51,1.0,nan,208.5,[354.72956822158807; 74.404631829369578; 56892.263118375806],-5.27043177841,102.5,203.2,nan
